method,epoch,class_name,class_id,support,precision,recall,ap50,ap50_95
unweighted,1,Hatchback,0,305,0.3432642487046632,0.8688524590163934,0.4750590183062849,0.3039668108650615
unweighted,1,Sedan,1,154,0.24324324324324326,0.525974025974026,0.23729209541879773,0.15745273777054358
unweighted,1,SUV,2,118,0.2602739726027397,0.16101694915254236,0.22637876871165655,0.1542095867387395
unweighted,1,MUV,3,67,0.0,0.0,0.11805915806238679,0.07073392278886927
unweighted,1,Bus,4,80,0.3253968253968254,0.5125,0.43107313960032234,0.2707010126599321
unweighted,1,Truck,5,122,0.3090909090909091,0.5573770491803278,0.3894469354252469,0.2515706167122453
unweighted,1,Three-wheeler,6,484,0.5039787798408488,0.7851239669421488,0.6971779873632876,0.4475592156751063
unweighted,1,Two-wheeler,7,1538,0.4335399449035813,0.8185955786736021,0.7296391614589377,0.39827424249117976
unweighted,1,LCV,8,180,0.4682080924855491,0.45,0.3713955990065612,0.23198443275541633
unweighted,1,Mini-bus,9,9,0.0,0.0,0.0020124860037430367,0.0007434312504404196
unweighted,1,Tempo-traveller,10,16,0.0,0.0,0.21201051217921893,0.11130342030284954
unweighted,1,Bicycle,11,28,0.0,0.0,0.3023621234942419,0.0975305153733477
unweighted,1,Van,12,23,0.0,0.0,0.047171191598841054,0.02494025781973265
unweighted,1,Others,13,8,0.0,0.0,0.006459641012698372,0.0020837882810266764
unweighted,2,Hatchback,0,305,0.42402826855123676,0.7868852459016393,0.4427336513742327,0.30191865549484986
unweighted,2,Sedan,1,154,0.29831932773109243,0.461038961038961,0.2831466760152999,0.179456941434501
unweighted,2,SUV,2,118,0.29464285714285715,0.2796610169491525,0.23212941098212958,0.16328016964692021
unweighted,2,MUV,3,67,0.0,0.0,0.1451527204034629,0.10622420359342974
unweighted,2,Bus,4,80,0.2903225806451613,0.675,0.4812122984803841,0.32124984073784585
unweighted,2,Truck,5,122,0.5512820512820513,0.3524590163934426,0.4631678515049549,0.2843661198412773
unweighted,2,Three-wheeler,6,484,0.4819557625145518,0.8553719008264463,0.8095996143504856,0.5345074766229744
unweighted,2,Two-wheeler,7,1538,0.5316666666666666,0.8296488946684005,0.7795604078999991,0.44817555055257263
unweighted,2,LCV,8,180,0.38769230769230767,0.7,0.5014622750086708,0.2975182031116368
unweighted,2,Mini-bus,9,9,0.0,0.0,0.008023246680614039,0.0023676375412543162
unweighted,2,Tempo-traveller,10,16,0.0,0.0,0.13924582379307796,0.09629032032403971
unweighted,2,Bicycle,11,28,0.3870967741935484,0.42857142857142855,0.4367997238310084,0.20503972011762697
unweighted,2,Van,12,23,0.0,0.0,0.06538499269016529,0.04466932930511295
unweighted,2,Others,13,8,0.0,0.0,0.007350895792048559,0.0029063158122920097
unweighted,3,Hatchback,0,305,0.36312849162011174,0.8524590163934426,0.4447858429630314,0.29556404404564773
unweighted,3,Sedan,1,154,0.2551928783382789,0.5584415584415584,0.2650553007316032,0.1819428277653523
unweighted,3,SUV,2,118,0.2020997375328084,0.652542372881356,0.2565497950446092,0.1769450670062465
unweighted,3,MUV,3,67,0.0,0.0,0.1526293835200038,0.11535499443897891
unweighted,3,Bus,4,80,0.5569620253164557,0.55,0.5540868560881721,0.35511496752514193
unweighted,3,Truck,5,122,0.3088803088803089,0.6557377049180327,0.4804792546791722,0.287791175539897
unweighted,3,Three-wheeler,6,484,0.5060827250608273,0.859504132231405,0.8172436986905066,0.45209535767986614
unweighted,3,Two-wheeler,7,1538,0.5826879271070615,0.8315994798439532,0.7970214393508869,0.44241321058359573
unweighted,3,LCV,8,180,0.30151843817787416,0.7722222222222223,0.574269402210641,0.36666927669534655
unweighted,3,Mini-bus,9,9,0.0,0.0,0.040647907720224724,0.025347655894347038
unweighted,3,Tempo-traveller,10,16,0.0,0.0,0.3514717948808999,0.24132440139747768
unweighted,3,Bicycle,11,28,0.2708333333333333,0.4642857142857143,0.4200793838729661,0.26676991479991713
unweighted,3,Van,12,23,0.0,0.0,0.0949118457403211,0.06601180096627086
unweighted,3,Others,13,8,0.0,0.0,0.028435973806921404,0.0040067683005663894
weighted,1,Hatchback,0,305,0.3759512937595129,0.8098360655737705,0.4551162671570662,0.2999434446173924
weighted,1,Sedan,1,154,0.2642857142857143,0.4805194805194805,0.24844801622859372,0.16251049476119264
weighted,1,SUV,2,118,0.16666666666666666,0.059322033898305086,0.1950174058056841,0.12096446026204555
weighted,1,MUV,3,67,0.0,0.0,0.11688937327400838,0.06991116144113409
weighted,1,Bus,4,80,0.3467741935483871,0.5375,0.42843081484764034,0.28055269158606927
weighted,1,Truck,5,122,0.24912280701754386,0.5819672131147541,0.3338756056395934,0.18029743729381606
weighted,1,Three-wheeler,6,484,0.4710947109471095,0.7913223140495868,0.7042652433049523,0.45049789558095893
weighted,1,Two-wheeler,7,1538,0.3988851037472902,0.8374512353706112,0.7338467523271031,0.39916256598043826
weighted,1,LCV,8,180,0.21693121693121692,0.6833333333333333,0.3950545560888065,0.22801617042481492
weighted,1,Mini-bus,9,9,0.0,0.0,0.003687955354492598,0.0007254683417681166
weighted,1,Tempo-traveller,10,16,0.0,0.0,0.24630063992279352,0.10682634454473655
weighted,1,Bicycle,11,28,0.6153846153846154,0.2857142857142857,0.3428038486875028,0.1232454815683715
weighted,1,Van,12,23,0.0,0.0,0.05739297235337758,0.033932393431228815
weighted,1,Others,13,8,0.0,0.0,0.004952940462985243,0.001043995923006646
weighted,2,Hatchback,0,305,0.3455978975032852,0.8622950819672132,0.45166783077806033,0.29472969966742174
weighted,2,Sedan,1,154,0.22594142259414227,0.7012987012987013,0.25926178492967705,0.1655026052211676
weighted,2,SUV,2,118,0.20437956204379562,0.23728813559322035,0.22336057698241918,0.13922978451498927
weighted,2,MUV,3,67,0.0,0.0,0.11383288101093318,0.07710004621973131
weighted,2,Bus,4,80,0.4479166666666667,0.5375,0.5039637413356316,0.3278851454313815
weighted,2,Truck,5,122,0.2689873417721519,0.6967213114754098,0.4131071624710211,0.24348359240539594
weighted,2,Three-wheeler,6,484,0.6405990016638935,0.7954545454545454,0.7999019907854499,0.5172926123796908
weighted,2,Two-wheeler,7,1538,0.4883096972019931,0.8283485045513654,0.756279852465816,0.43833063527646937
weighted,2,LCV,8,180,0.3582554517133956,0.6388888888888888,0.49270883916750124,0.3007161803961727
weighted,2,Mini-bus,9,9,0.0,0.0,0.043474508128030706,0.022614046835746342
weighted,2,Tempo-traveller,10,16,0.0,0.0,0.1392927168965912,0.08899000776903183
weighted,2,Bicycle,11,28,0.32432432432432434,0.42857142857142855,0.3662579179875383,0.18630263214352163
weighted,2,Van,12,23,0.0,0.0,0.06328854405454991,0.038188002952719485
weighted,2,Others,13,8,0.0,0.0,0.011840958362201908,0.004107707970376115
weighted,3,Hatchback,0,305,0.3557951482479784,0.8655737704918033,0.4509964399204854,0.2932436396961023
weighted,3,Sedan,1,154,0.26011560693641617,0.5844155844155844,0.2850054104622261,0.1927077949689567
weighted,3,SUV,2,118,0.30097087378640774,0.2627118644067797,0.24917969111407434,0.16938847030436524
weighted,3,MUV,3,67,0.0,0.0,0.15543329356715058,0.11616763816427779
weighted,3,Bus,4,80,0.5189873417721519,0.5125,0.5257421485965882,0.36264069889679984
weighted,3,Truck,5,122,0.3244444444444444,0.5983606557377049,0.43994016253976964,0.26194426515616515
weighted,3,Three-wheeler,6,484,0.5127272727272727,0.8739669421487604,0.8359167522195926,0.5647935177507539
weighted,3,Two-wheeler,7,1538,0.5748638838475499,0.8237971391417426,0.7934920849127212,0.4651627664858378
weighted,3,LCV,8,180,0.34760705289672544,0.7666666666666667,0.589286734792419,0.34872569884445054
