split,category_id,name,instances
train,1,Hatchback,24196
train,2,Sedan,12799
train,3,SUV,10536
train,4,MUV,5208
train,5,Bus,7456
train,6,Truck,10415
train,7,Three-wheeler,41961
train,8,Two-wheeler,119519
train,9,LCV,13854
train,10,Mini-bus,699
train,11,Tempo-traveller,1345
train,12,Bicycle,2710
train,13,Van,1743
train,14,Others,282
val,1,Hatchback,6094
val,2,Sedan,3151
val,3,SUV,2639
val,4,MUV,1315
val,5,Bus,1830
val,6,Truck,2596
val,7,Three-wheeler,10467
val,8,Two-wheeler,30211
val,9,LCV,3491
val,10,Mini-bus,174
val,11,Tempo-traveller,335
val,12,Bicycle,681
val,13,Van,443
val,14,Others,70
