class_id,name,gt_count,prediction_count_raw,prediction_count_fixed,tp,fp,fn,precision,recall,f1,ap50,ap50_95
0,Hatchback,610,3148,677,406,271,204,0.5997045790251108,0.6655737704918033,0.630924630924631,0.6303052070316827,0.5410394662327446
1,Sedan,301,838,263,160,103,141,0.6083650190114068,0.53156146179402,0.5673758865248227,0.5074362329844733,0.46288016361903284
2,SUV,236,1183,286,135,151,101,0.47202797202797203,0.5720338983050848,0.5172413793103448,0.4410305063925142,0.4021118566611763
3,MUV,147,468,127,64,63,83,0.5039370078740157,0.43537414965986393,0.46715328467153283,0.3973812900732325,0.37142910507088833
4,Bus,166,1668,155,120,35,46,0.7741935483870968,0.7228915662650602,0.7476635514018692,0.7829967692347429,0.6636016107869512
5,Truck,253,2548,250,180,70,73,0.72,0.7114624505928854,0.7157057654075545,0.7164996036702139,0.5925630615903296
6,Three-wheeler,1035,5482,1035,908,127,127,0.8772946859903382,0.8772946859903382,0.8772946859903382,0.9268501488660631,0.791765020554881
7,Two-wheeler,2920,24511,2972,2494,478,426,0.8391655450874832,0.8541095890410959,0.846571622539036,0.914768275426207,0.7045370607839407
8,LCV,311,2635,336,231,105,80,0.6875,0.7427652733118971,0.7140649149922721,0.748647220945933,0.6134944876112154
9,Mini-bus,19,40,8,4,4,15,0.5,0.21052631578947367,0.2962962962962963,0.2006100610061006,0.11448875244667324
10,Tempo-traveller,30,107,21,16,5,14,0.7619047619047619,0.5333333333333333,0.6274509803921569,0.5618883627493184,0.5055145063001283
11,Bicycle,62,749,55,41,14,21,0.7454545454545455,0.6612903225806451,0.7008547008547009,0.6838477415810912,0.5437681862017627
12,Van,48,138,58,30,28,18,0.5172413793103449,0.625,0.5660377358490567,0.5014553338596268,0.44517130712752356
13,Others,10,93,0,0,0,10,0.0,0.0,0.0,0.019174674132189172,0.007240077949939066
