threshold,precision,recall,harmonic_aggregate_f1,macro_class_f1,predictions,tp
0.001,0.08741968684087036,0.9344283479706749,0.15988176474771704,0.15365039885193937,42811,5913
0.01,0.18179391191785,0.8503856512397505,0.29955046524027734,0.2898967498724229,20415,5758
0.02,0.22321951533006631,0.811077468139017,0.35008962073133704,0.34088679380541703,16748,5684
0.03,0.25373326422758324,0.7939632012615329,0.38456725085661403,0.3761208368374957,14972,5630
0.04,0.27651888457914126,0.7796789440194524,0.4082491860756109,0.40068328960966165,13828,5574
0.05,0.2965128489992339,0.7671311619977031,0.4277074736439931,0.42054498192097894,13019,5541
0.06,0.3164667549490926,0.756534810882056,0.4462586527922093,0.4388130218439365,12394,5501
0.07,0.336992885875667,0.7491517459975328,0.4648714387274643,0.45629607776041625,11885,5468
0.08,0.35340263277884343,0.7427144927146568,0.47892191632383957,0.4691939847105537,11512,5441
0.09,0.3638057823789172,0.7303791783060847,0.4856878461033997,0.47486597694714033,11176,5417
0.1,0.372161001924029,0.7245608251934473,0.4917441706574341,0.4814130386013213,10886,5394
0.11,0.37916528764119134,0.7135339545052074,0.4951908021282878,0.48524479093279205,10629,5373
0.12,0.3912703913009134,0.7057023912347676,0.5034226102167425,0.4915731708861077,10369,5348
0.13,0.4006270938980241,0.6996118891868869,0.509495632004557,0.4981716255676508,10144,5324
0.14,0.4081248992370508,0.6929736173974254,0.5137047839074411,0.5026463233300731,9934,5304
0.15,0.41379874528412597,0.6878743219487475,0.5167441045836018,0.5061345735855768,9743,5282
0.16,0.4269010977076237,0.6842382887829149,0.5257703581142917,0.5118137179737361,9568,5263
0.17,0.41121849850780123,0.6720573612442544,0.5102346120132911,0.505836568929264,9418,5246
0.18,0.418062446841709,0.6655218629312049,0.5135358567566937,0.5088991963649652,9262,5229
0.19,0.4232134107275714,0.6623394487427563,0.5164390378900814,0.5120382477507424,9120,5216
0.2,0.42831357716704643,0.6573035043687961,0.5186580425620162,0.5139668084553395,8995,5203
0.21,0.43569226590924287,0.6536784434857773,0.5228755276089805,0.5178023864206829,8870,5188
0.22,0.4419154926225034,0.6458045827093368,0.5247509111547841,0.5193479746362322,8753,5170
0.23,0.4475621883994213,0.6430296393267064,0.5277790375209438,0.5226382692508952,8642,5152
0.24,0.45225207753792057,0.6377062348570336,0.5292018351404129,0.5243261162367615,8528,5129
0.25,0.456161013331201,0.634882026193483,0.5308836002296556,0.5262591776511334,8423,5113
0.26,0.4627263514140903,0.6324538581655978,0.5344381932157942,0.5297708537186949,8321,5098
0.27,0.46736797060692487,0.6278686378987505,0.5358580763709974,0.5312869657918909,8226,5082
0.28,0.47557446535782705,0.6175643231933631,0.5373477291314661,0.5311649067000472,8116,5063
0.29,0.4825145517400961,0.616130208842301,0.5411973045326841,0.5347199471686352,8034,5052
0.3,0.48565396840479563,0.6086801812080938,0.5402517057475168,0.5336833464605129,7945,5027
0.31,0.4906922867462834,0.605402318436742,0.5420449049388809,0.5357676397939247,7857,5004
0.32,0.49699479425970977,0.6011364865698932,0.5441274821697165,0.5375544393604385,7782,4987
0.33,0.4994514183172195,0.598913258419695,0.5446789808561052,0.5383872398730957,7701,4972
0.34,0.502767249382127,0.5961326317182748,0.5454836581032295,0.5394155455977374,7631,4960
0.35,0.5102194393425006,0.5931471952097663,0.5485669403267925,0.5418718955656336,7564,4944
0.36,0.5134588157183074,0.5896395582638128,0.5489186394027094,0.5425304775713585,7487,4925
0.37,0.5153694220568441,0.5880458079577847,0.5493142018460913,0.5431128343489106,7442,4918
0.38,0.5183406991149377,0.5847699881038173,0.5495551588198102,0.5435143716349037,7372,4903
0.39,0.5211858650813913,0.5837266413850986,0.5506862720456943,0.5448802469108781,7312,4897
0.4,0.525845384530992,0.5804196594276075,0.5517863927235865,0.5460446120684787,7241,4880
0.41,0.5289445151148449,0.5750089872984094,0.5510156891723513,0.5452449993415219,7166,4863
0.42,0.5316432870453714,0.5715574626575987,0.5508783206762895,0.5453699849877434,7101,4842
0.43,0.5362697840680013,0.568768236024869,0.552041130842105,0.546461938382426,7042,4825
0.44,0.5366713027900074,0.564597489981489,0.5502803175558691,0.5448728102316923,6985,4810
0.45,0.5379941811219372,0.5609668834115761,0.54924042137133,0.5440163992345541,6925,4797
0.46,0.5412411072652211,0.558380374396372,0.5496771701054642,0.5446645381538258,6869,4786
0.47,0.5480567041652901,0.5552463600362133,0.5516281064649406,0.545979871518709,6798,4774
0.48,0.5536565161721176,0.5506385553090716,0.5521434118030683,0.54586306153898,6733,4758
0.49,0.5543490811280564,0.548064656119603,0.5511889561122415,0.5450850408433057,6689,4744
0.5,0.5579402628839194,0.5462879574202114,0.552052630006873,0.5459682097041261,6636,4733
0.51,0.5591759724025972,0.5389621927144648,0.5488830418114466,0.5425610809007358,6571,4703
0.52,0.5574258645735762,0.5331664137516251,0.5450263220339271,0.5384552263558514,6527,4689
0.53,0.5595744881155336,0.5297597823620069,0.5442591260981143,0.5379300261111248,6463,4669
0.54,0.5641541780278387,0.5269399561641058,0.544912429686823,0.5383142190487101,6418,4659
0.55,0.5700015271458677,0.5214399033742249,0.5446403864226963,0.5361687314227325,6357,4642
0.56,0.5683104676525405,0.5163763518643243,0.5411001235240219,0.5321681454052583,6315,4628
0.57,0.5747106272457893,0.5105566917013715,0.5407374780563468,0.5298847750028776,6264,4610
0.58,0.5778376758436492,0.5080799454961562,0.5407182443287701,0.530129632753927,6213,4593
0.59,0.5652069701175924,0.4978181302722029,0.529376544312232,0.5198353060343661,6153,4573
0.6,0.5658536645541702,0.4942939536286198,0.5276586773965627,0.5181844006227669,6105,4559
0.61,0.5706539545164959,0.4909681292321409,0.5278204151492096,0.5184997144822708,6050,4541
0.62,0.5725434572135873,0.4874685325119983,0.5265920038498917,0.5174134878454434,5998,4519
0.63,0.5823450361408122,0.4849041607308169,0.5291763757393264,0.5176223161611925,5945,4500
0.64,0.5836982612122712,0.48006212535846254,0.5268318530809843,0.5151194225886796,5895,4479
0.65,0.5984122287445371,0.4764231043817517,0.5304950496728367,0.5145774609278787,5844,4461
0.66,0.6039243312197599,0.4720162709119338,0.5298844753521875,0.513016939601828,5794,4445
0.67,0.6054363644316962,0.46865591021912173,0.5283369728075465,0.5116513125309095,5747,4427
0.68,0.6095945125541108,0.4657173331378585,0.528030509139389,0.5112707902774049,5693,4412
0.69,0.6121460475751972,0.46345984918921895,0.5275261426966975,0.5108665660161024,5643,4393
0.7,0.6148158863021509,0.4595375157483271,0.5259553597441334,0.5092180541279198,5591,4367
0.71,0.6185091196667788,0.4571121764114957,0.5257018447888093,0.5089024839586416,5536,4344
0.72,0.6208858036769882,0.45507811878419263,0.5252063524041243,0.5084645612233956,5487,4327
0.73,0.6263622963235014,0.4516185829249269,0.5248272174557409,0.5080242335963912,5436,4305
0.74,0.6309419253829155,0.44699911647609414,0.5232762688161519,0.5064906025941275,5390,4289
0.75,0.6674376832499103,0.4412755099797025,0.5312896172865867,0.5028657921374069,5328,4269
0.76,0.6717526375561819,0.43551737824513476,0.5284346967997698,0.4995193863704975,5273,4245
0.77,0.6730985725482654,0.43152495540201974,0.525896514333752,0.49727501002431496,5222,4223
0.78,0.6061196202435337,0.4248085564558944,0.4995203482353191,0.4894622463714716,5171,4202
0.79,0.6073135345415146,0.4204752232221061,0.49691202024390985,0.48669419329814323,5118,4177
0.8,0.6089304203069393,0.4177336942592988,0.4955286746905652,0.4852738620261468,5071,4154
0.81,0.6151563379930538,0.41227579330017894,0.4936852946782854,0.48193508805781976,5008,4125
0.82,0.6155555863125953,0.40574081074454,0.48909606137547307,0.4764557117769669,4943,4095
0.83,0.6195903605526553,0.401961864202755,0.4875946433956085,0.47491109095584294,4882,4065
0.84,0.6248536568261279,0.3965882108590345,0.4852152660845917,0.4723540716104021,4809,4023
0.85,0.6302139961620573,0.39200688911112064,0.4833558610842797,0.46962493527068405,4744,3992
0.86,0.63410268398284,0.3886776822095445,0.4819442563427977,0.4681703004465336,4680,3963
0.87,0.6493163469955295,0.3834198186951062,0.4821381574727824,0.46633529110458977,4601,3931
