image_id,both,E1_only,E3_only,neither
114,3,0,0,1
174,5,0,0,0
178,1,0,1,1
228,7,1,0,3
256,8,2,1,1
296,15,2,7,4
390,9,0,1,0
417,8,1,1,1
446,2,1,0,2
552,11,1,0,0
672,5,1,0,4
693,12,3,2,1
694,13,1,1,2
739,9,0,0,0
899,12,3,0,1
918,7,1,1,0
923,5,1,0,3
946,10,0,0,1
954,7,0,1,1
1025,7,0,0,1
1040,4,0,0,0
1195,19,2,1,9
1301,15,1,1,3
1319,13,3,3,8
1420,3,0,0,0
1428,3,0,0,1
1529,3,0,2,1
1629,6,0,1,4
1652,20,1,2,0
1917,9,0,0,1
1948,6,0,0,1
1974,8,1,0,0
2082,15,1,1,3
2123,5,0,0,3
2190,11,0,2,6
2191,8,0,3,3
2212,14,1,0,1
2218,8,0,0,2
2311,2,0,3,2
2328,18,0,0,2
2413,12,2,0,1
2419,5,1,0,0
2475,10,0,1,0
2553,3,0,0,1
2630,6,1,1,1
2658,6,0,0,1
2660,2,1,0,1
2666,8,0,0,1
2863,20,2,1,5
2934,12,1,0,1
3363,5,0,0,0
3384,12,1,0,4
3389,18,2,1,6
3390,14,0,2,7
3543,12,1,0,2
3553,7,1,0,5
3561,7,3,0,0
3610,10,1,2,0
3676,2,1,1,4
3687,8,0,2,3
3738,10,1,1,4
3873,9,2,2,4
3906,21,0,4,1
3907,11,3,1,3
3968,8,1,2,2
3969,10,1,2,5
4001,23,1,0,1
4102,8,1,0,0
4161,3,0,2,2
4232,8,0,1,1
4298,11,0,1,1
4552,7,3,0,2
4566,11,1,1,0
4575,2,0,1,0
4628,4,0,0,2
4650,5,0,0,0
4668,6,0,1,2
4711,7,1,0,1
4728,6,0,0,2
4732,6,0,0,1
4733,6,0,0,2
4757,11,1,4,5
4805,8,0,1,0
4882,12,2,0,0
4888,8,1,1,3
4998,23,2,8,5
5052,10,1,0,4
5057,13,1,2,3
5074,8,1,1,3
5078,4,0,2,0
5085,9,1,1,0
5238,0,0,1,1
5247,4,2,2,0
5251,9,1,2,1
5256,8,2,0,0
5257,8,1,0,2
5313,11,0,3,1
5402,9,0,0,0
5406,3,0,0,2
5486,11,0,0,2
5517,8,1,1,0
5519,2,0,0,1
5542,24,5,2,4
5624,4,0,1,1
5779,9,2,2,8
5827,18,0,0,1
5850,5,0,1,1
6008,11,0,1,4
6030,1,1,0,0
6139,10,1,1,2
6140,14,0,2,8
6643,9,1,1,2
6763,6,0,1,0
6767,6,0,1,0
6784,5,2,1,5
6792,6,3,3,3
6806,5,0,1,3
6882,18,3,0,2
6905,4,1,0,2
6924,10,1,1,2
6995,6,0,0,2
6996,6,0,2,1
7032,7,0,0,1
7179,30,1,0,0
7354,3,0,1,0
7392,2,1,2,0
7394,3,0,0,0
7461,2,1,0,4
7526,2,1,0,3
7610,4,1,0,3
7693,9,0,0,0
7790,10,2,2,2
7817,6,1,1,3
7992,9,0,1,1
8208,8,0,1,0
8221,11,0,0,0
8232,10,0,1,1
8315,33,6,6,3
8338,3,0,0,3
8558,5,0,3,0
8592,3,0,0,2
8638,5,2,0,1
8669,2,0,0,4
8734,16,0,1,2
8795,14,3,3,0
8921,7,0,0,2
9205,9,3,0,2
9281,22,0,3,0
9447,3,0,1,2
9590,10,0,6,0
9677,14,1,1,3
9686,16,2,0,2
9746,5,0,0,0
9825,22,0,1,1
9837,1,1,0,0
9900,16,0,1,2
9906,9,0,0,1
9911,10,1,1,5
9947,8,1,1,1
9990,14,4,3,4
10000,9,2,0,4
10002,4,1,0,1
10066,10,0,2,0
10139,13,1,1,1
10150,11,0,2,4
10284,11,1,1,2
10310,13,2,1,2
10338,10,0,1,7
10380,15,1,2,3
10433,20,3,1,1
10451,11,2,1,5
10457,11,2,2,0
10546,25,1,3,5
10689,2,0,1,2
10728,12,0,1,2
10786,3,0,0,0
10817,12,0,0,0
10905,12,0,1,1
10985,27,3,0,1
11027,2,0,0,2
11093,25,6,2,11
11108,6,0,0,1
11130,10,3,0,5
11166,3,0,1,3
11197,15,2,1,1
11220,5,0,0,0
11382,14,2,1,1
11427,1,0,0,0
11559,15,2,1,1
11561,14,0,0,0
11595,29,2,1,4
11759,19,1,3,5
11779,8,0,0,2
11824,16,1,0,5
11991,4,0,0,2
12001,8,0,0,1
12013,2,0,1,2
12045,14,0,3,1
12183,7,0,2,2
12275,5,1,1,2
12297,16,0,1,1
12349,3,0,0,1
12352,7,1,1,1
12433,4,0,1,1
12504,9,0,3,0
12592,11,3,0,3
12664,4,1,2,0
12712,6,0,0,2
12771,13,0,1,4
12871,3,0,0,1
12888,4,0,0,0
13122,16,1,3,0
13135,20,2,1,2
13233,5,0,0,1
13283,8,0,1,0
