measurement,E0,E1,absolute_change,relative_change_percent,unit
precision,0.6099933461410915,0.6503353423729027,0.04034199623181123,6.6135141451985735,fraction
recall,0.5435466042047116,0.6102552350449412,0.0667086308402296,12.272844743061938,fraction
f1,0.5748562271866977,0.6296581210859846,0.05480189389928691,9.533147821583698,fraction
macro_f1,0.5393973621713384,0.5918555225005008,0.052458160329162395,9.725327561483166,fraction
map50,0.560049159856388,0.6232737306526871,0.06322457079629906,11.28911090814091,fraction
map50_95,0.45840711155408354,0.5247600681193874,0.06635295656530382,14.474678706522504,fraction
parameters,3013578.0,11141018.0,8127440.0,269.69403148018733,count
checkpoint_bytes,6228714.0,22502762.0,16274048.0,261.27460660418825,bytes
end_to_end_mean_ms,30.363652499509044,30.29247166006826,-0.07118083944078535,-0.23442778974609446,ms
end_to_end_median_ms,31.166603992460296,30.53681249730289,-0.6297914951574057,-2.02072543838836,ms
end_to_end_p95_ms,33.68128890579101,32.06264998589177,-1.6186389198992401,-4.805751123202828,ms
end_to_end_fps_from_total_time,32.934114234648455,33.011502370016466,0.07738813536801104,0.23497864498993604,FPS
