class_id,name,gt_count,prediction_count_raw,prediction_count_fixed,tp,fp,fn,precision,recall,f1,ap50,ap50_95
0,Hatchback,610,4364,1082,500,582,110,0.46210720887245843,0.819672131147541,0.5910165484633569,0.5994656442374419,0.4716622855076556
1,Sedan,301,2806,492,193,299,108,0.39227642276422764,0.6411960132890365,0.4867591424968475,0.5250015122954348,0.4310073224333759
2,SUV,236,2913,438,155,283,81,0.3538812785388128,0.6567796610169492,0.4599406528189911,0.46527689399812305,0.37531029953829137
3,MUV,147,2347,247,82,165,65,0.3319838056680162,0.5578231292517006,0.416243654822335,0.4413950020931753,0.3824426618935588
4,Bus,166,1608,210,124,86,42,0.5904761904761905,0.7469879518072289,0.6595744680851063,0.7355247808633536,0.5720130197149873
5,Truck,253,2453,402,198,204,55,0.4925373134328358,0.782608695652174,0.6045801526717558,0.7038175601142207,0.5306356756918567
6,Three-wheeler,1035,5989,1263,937,326,98,0.7418844022169437,0.9053140096618357,0.815491731940818,0.9092325883570518,0.699490419930173
7,Two-wheeler,2920,10696,3615,2580,1035,340,0.7136929460580913,0.8835616438356164,0.7895944912012243,0.8780977329945241,0.6065840804635826
8,LCV,311,2999,474,255,219,56,0.5379746835443038,0.819935691318328,0.6496815286624203,0.7369354924964221,0.5415646961690301
9,Mini-bus,19,946,20,7,13,12,0.35,0.3684210526315789,0.358974358974359,0.29867827049761,0.17023545153876352
10,Tempo-traveller,30,869,28,16,12,14,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.5615403387537531,0.4577343205845018
11,Bicycle,62,1728,88,43,45,19,0.48863636363636365,0.6935483870967742,0.5733333333333334,0.6289162975257245,0.4345746879335522
12,Van,48,1655,64,23,41,25,0.359375,0.4791666666666667,0.4107142857142857,0.36451247039938356,0.29723444098436175
13,Others,10,1438,0,0,0,10,0.0,0.0,0.0,0.0414645143670269,0.0364919726055631
