epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,797.61,1.02141,1.49199,1.0275,0.48938,0.4984,0.42431,0.33583,0.81896,1.06607,0.93665,0.000185148,0.000185148,0.000185148
2,5086.57,0.9301,1.10304,0.98219,0.51541,0.50147,0.46057,0.36383,0.81513,0.9583,0.94366,0.000358255,0.000358255,0.000358255
3,22466.7,0.92189,1.04608,0.9805,0.56804,0.50031,0.4764,0.37909,0.81632,0.92733,0.94109,0.000519131,0.000519131,0.000519131
4,27051.5,0.90453,1.00479,0.97379,0.53895,0.53353,0.50181,0.40325,0.7896,0.89105,0.93707,0.000500956,0.000500956,0.000500956
5,30002.1,0.88664,0.96865,0.9686,0.53915,0.55172,0.51264,0.41714,0.77841,0.86939,0.93189,0.000482608,0.000482608,0.000482608
6,96862.3,0.87529,0.93645,0.96069,0.56442,0.53495,0.5417,0.43883,0.76159,0.8318,0.92582,0.00046426,0.00046426,0.00046426
7,121969,0.86102,0.91268,0.95715,0.56961,0.56538,0.55124,0.45194,0.75323,0.82178,0.92092,0.000445912,0.000445912,0.000445912
8,123062,0.84835,0.89384,0.9513,0.62233,0.53051,0.56359,0.46195,0.74481,0.80144,0.91724,0.000427564,0.000427564,0.000427564
9,124130,0.83807,0.879,0.94753,0.60894,0.5637,0.57202,0.46956,0.7468,0.80515,0.91695,0.000409216,0.000409216,0.000409216
10,125218,0.83214,0.86841,0.94422,0.6204,0.55843,0.56624,0.46719,0.73836,0.80288,0.9134,0.000390868,0.000390868,0.000390868
11,126332,0.82239,0.84781,0.94042,0.61265,0.57539,0.57939,0.48008,0.73259,0.78689,0.91218,0.00037252,0.00037252,0.00037252
12,127464,0.81686,0.83202,0.93751,0.62905,0.57471,0.58958,0.48956,0.72819,0.78343,0.91186,0.000354172,0.000354172,0.000354172
13,132223,0.80766,0.82377,0.93619,0.63445,0.56645,0.59143,0.48975,0.72403,0.76929,0.91058,0.000335824,0.000335824,0.000335824
14,133317,0.79806,0.80975,0.93111,0.55688,0.58412,0.59387,0.49434,0.72035,0.76525,0.90896,0.000317476,0.000317476,0.000317476
15,134122,0.79615,0.79989,0.93005,0.61616,0.58524,0.59723,0.49722,0.72122,0.7559,0.909,0.000299128,0.000299128,0.000299128
16,134906,0.78547,0.78938,0.92679,0.64108,0.58677,0.60185,0.5034,0.70782,0.74437,0.90352,0.00028078,0.00028078,0.00028078
17,135689,0.78239,0.78031,0.92407,0.63605,0.58016,0.60181,0.50367,0.7105,0.74909,0.90521,0.000262432,0.000262432,0.000262432
18,136470,0.77542,0.76958,0.92225,0.64536,0.58284,0.60083,0.50091,0.71183,0.74344,0.90547,0.000244084,0.000244084,0.000244084
19,137249,0.76922,0.76218,0.91999,0.63983,0.59592,0.61105,0.51177,0.7018,0.73211,0.9029,0.000225736,0.000225736,0.000225736
20,138028,0.76109,0.74667,0.9175,0.60137,0.59054,0.61367,0.51326,0.70249,0.73178,0.90283,0.000207388,0.000207388,0.000207388
21,138807,0.7577,0.73528,0.916,0.59784,0.59766,0.62181,0.52012,0.69843,0.71856,0.90107,0.00018904,0.00018904,0.00018904
22,139587,0.75097,0.72641,0.91406,0.65105,0.60997,0.62324,0.52467,0.69655,0.71781,0.90043,0.000170692,0.000170692,0.000170692
23,140366,0.74791,0.7152,0.91207,0.64361,0.60606,0.61877,0.52053,0.69163,0.71574,0.89891,0.000152344,0.000152344,0.000152344
24,141143,0.74081,0.709,0.91014,0.57437,0.60094,0.62076,0.52444,0.68978,0.71488,0.89759,0.000133996,0.000133996,0.000133996
25,141922,0.73539,0.69791,0.90794,0.65857,0.60832,0.6214,0.52276,0.68749,0.71415,0.8951,0.000115648,0.000115648,0.000115648
26,142685,0.69321,0.64299,0.88746,0.58602,0.5904,0.61834,0.51934,0.69788,0.7162,0.89763,9.73e-05,9.73e-05,9.73e-05
27,143449,0.68385,0.62604,0.88352,0.61223,0.60318,0.61838,0.52041,0.69288,0.716,0.89896,7.8952e-05,7.8952e-05,7.8952e-05
28,144214,0.67561,0.61186,0.88085,0.57785,0.60097,0.6203,0.52274,0.68798,0.71099,0.89746,6.0604e-05,6.0604e-05,6.0604e-05
29,144981,0.67017,0.60191,0.87876,0.59294,0.59459,0.62126,0.52358,0.68835,0.71058,0.89764,4.2256e-05,4.2256e-05,4.2256e-05
30,145746,0.6649,0.59535,0.87898,0.60108,0.62023,0.62218,0.52434,0.68604,0.70894,0.89658,2.3908e-05,2.3908e-05,2.3908e-05
