split,category,instances,share_percent
train,Bicycle,2710,1.0723202874293198
train,Bus,7456,2.9502657059309993
train,Hatchback,24196,9.574118699129086
train,LCV,13854,5.481891240607305
train,MUV,5208,2.060754264550516
train,Mini-bus,699,0.2765874099310312
train,Others,282,0.11158462031552333
train,SUV,10536,4.168991346256574
train,Sedan,12799,5.0644381397815
train,Tempo-traveller,1345,0.5322032422850315
train,Three-wheeler,41961,16.603554088864094
train,Truck,10415,4.1211128389580685
train,Two-wheeler,119519,47.29249019677671
train,Van,1743,0.6896879191842452
val,Bicycle,681,1.0724916137770288
val,Bus,1830,2.882025922484527
val,Hatchback,6094,9.597303809628801
val,LCV,3491,5.497897538466384
val,MUV,1315,2.0709639825503565
val,Mini-bus,174,0.2740286942690206
val,Others,70,0.11024142872891633
val,SUV,2639,4.156101863080146
val,Sedan,3151,4.9624391703545045
val,Tempo-traveller,335,0.5275839803455281
val,Three-wheeler,10467,16.48424335007953
val,Truck,2596,4.088382128289526
val,Two-wheeler,30211,47.578625761847015
val,Van,443,0.6976707560987133
