split,class_id,name,full_instances,subset_instances,full_share,subset_share,share_difference_pp
train,0,Hatchback,24196,9045,0.09574118699129086,0.09560401230326925,-0.01371746880216157
train,1,Sedan,12799,4717,0.050644381397815,0.04985783593527043,-0.07865454625445717
train,2,SUV,10536,3952,0.04168991346256573,0.04177192444693422,0.008201098436848991
train,3,MUV,5208,1994,0.02060754264550516,0.02107621896436914,0.046867631886398156
train,4,Bus,7456,2726,0.029502657059309996,0.02881332642771829,-0.06893306315917044
train,5,Truck,10415,3917,0.04121112838958069,0.04140198078406917,0.019085239448848185
train,6,Three-wheeler,41961,15758,0.16603554088864092,0.16655920684078682,0.05236659521458964
train,7,Two-wheeler,119519,44756,0.4729249019677671,0.4730628164339545,0.013791446618738323
train,8,LCV,13854,5191,0.054818912406073055,0.054867930112357174,0.004901770628411989
train,9,Mini-bus,699,240,0.002765874099310312,0.0025367565453603778,-0.022911755394993412
train,10,Tempo-traveller,1345,510,0.005322032422850315,0.005390607658890803,0.006857523604048878
train,11,Bicycle,2710,1039,0.010723202874293198,0.010982041877622636,0.02588390033294377
train,12,Van,1743,661,0.006896879191842452,0.006986650318680041,0.008977112683758882
train,13,Others,282,103,0.0011158462031552333,0.0010886913507171623,-0.0027154852438071022
val,0,Hatchback,6094,2402,0.09597303809628802,0.09867718346890149,0.2704145372613473
val,1,Sedan,3151,1169,0.04962439170354505,0.04802399145509818,-0.1600400248446869
val,2,SUV,2639,1028,0.04156101863080146,0.04223153397420097,0.06705153433995137
val,3,MUV,1315,541,0.020709639825503567,0.022224960972804207,0.15153211473006406
val,4,Bus,1830,627,0.028820259224845268,0.02575794922356421,-0.3062310001281057
val,5,Truck,2596,933,0.04088382128289526,0.03832881439487306,-0.2555006888022196
val,6,Three-wheeler,10467,4016,0.1648424335007953,0.1649823350587462,0.013990155795090553
val,7,Two-wheeler,30211,11624,0.47578625761847015,0.4775285514748172,0.17422938563470547
val,8,LCV,3491,1322,0.05497897538466384,0.05430942404075261,-0.06695513439112302
val,9,Mini-bus,174,58,0.002740286942690206,0.002382713006326514,-0.03575739363636922
val,10,Tempo-traveller,335,130,0.0052758398034552815,0.005340563634869773,0.006472383141449111
val,11,Bicycle,681,278,0.010724916137770288,0.01142058992687536,0.06956737891050721
val,12,Van,443,183,0.006976707560987133,0.007517870347547449,0.05411627865603155
val,13,Others,70,31,0.0011024142872891633,0.001273519020622792,0.017110473333362866
