epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,626.072,1.21318,2.24703,1.07154,0.46049,0.3556,0.2707,0.1993,0.98074,1.40736,0.97518,0.000185148,0.000185148,0.000185148
2,1185.79,1.07902,1.43065,1.02477,0.40141,0.4441,0.35714,0.27087,0.9197,1.20844,0.96707,0.000358255,0.000358255,0.000358255
3,1736.94,1.05475,1.3229,1.01496,0.4291,0.46428,0.37269,0.28338,0.92213,1.15842,0.9655,0.000519131,0.000519131,0.000519131
4,2269.73,1.02353,1.24419,1.00425,0.52915,0.46,0.41733,0.31975,0.88884,1.09219,0.95364,0.000500956,0.000500956,0.000500956
5,2825.03,0.99779,1.18927,0.99602,0.55007,0.46072,0.42749,0.33635,0.86812,1.05932,0.9484,0.000482608,0.000482608,0.000482608
6,3374.93,0.98927,1.14713,0.98993,0.49289,0.48976,0.45601,0.35802,0.86022,1.00999,0.94413,0.00046426,0.00046426,0.00046426
7,3931.81,0.9748,1.11111,0.98584,0.54745,0.47882,0.47163,0.37372,0.84326,0.98287,0.94193,0.000445912,0.000445912,0.000445912
8,4465.26,0.96219,1.08349,0.98173,0.53106,0.48424,0.48518,0.3854,0.83685,0.96141,0.93819,0.000427564,0.000427564,0.000427564
9,4988.39,0.95068,1.06426,0.97744,0.53238,0.51165,0.48559,0.38692,0.83163,0.9487,0.93505,0.000409216,0.000409216,0.000409216
10,5516.82,0.94281,1.04903,0.97397,0.55226,0.5064,0.49608,0.39584,0.83354,0.93248,0.93895,0.000390868,0.000390868,0.000390868
11,6053.34,0.93752,1.02437,0.97256,0.55776,0.51823,0.50544,0.40328,0.82269,0.93111,0.93279,0.00037252,0.00037252,0.00037252
12,6584.42,0.93162,1.01164,0.96895,0.55122,0.52897,0.51377,0.41115,0.81552,0.91718,0.93185,0.000354172,0.000354172,0.000354172
13,7106.46,0.91976,0.99726,0.96782,0.56538,0.51891,0.51963,0.41504,0.8101,0.89558,0.93003,0.000335824,0.000335824,0.000335824
14,7620.21,0.91423,0.98326,0.96345,0.57075,0.53477,0.52149,0.42005,0.79933,0.88983,0.92563,0.000317476,0.000317476,0.000317476
15,8133.96,0.91197,0.97148,0.96131,0.57065,0.51979,0.51846,0.4196,0.79647,0.88518,0.92394,0.000299128,0.000299128,0.000299128
16,8648.28,0.90183,0.96172,0.95817,0.56811,0.53537,0.52667,0.42703,0.79054,0.8682,0.92318,0.00028078,0.00028078,0.00028078
17,9163.17,0.8997,0.9546,0.95625,0.56189,0.52977,0.52956,0.4295,0.79215,0.87567,0.92315,0.000262432,0.000262432,0.000262432
18,9677.56,0.89266,0.94418,0.95486,0.56884,0.52889,0.52658,0.42506,0.79165,0.86301,0.92144,0.000244084,0.000244084,0.000244084
19,10192.2,0.88828,0.93563,0.95342,0.59172,0.53298,0.54674,0.44593,0.77927,0.84368,0.91932,0.000225736,0.000225736,0.000225736
20,10708.2,0.87997,0.92377,0.95134,0.58867,0.53798,0.54142,0.44107,0.78223,0.84536,0.91947,0.000207388,0.000207388,0.000207388
21,11234.5,0.87754,0.91124,0.94964,0.57158,0.56479,0.55105,0.45022,0.77771,0.83685,0.91751,0.00018904,0.00018904,0.00018904
22,11759.2,0.87134,0.90285,0.94733,0.59133,0.54499,0.55178,0.45013,0.77577,0.83529,0.91717,0.000170692,0.000170692,0.000170692
23,12276,0.86892,0.89563,0.94601,0.58652,0.55057,0.55076,0.45026,0.76894,0.82538,0.91518,0.000152344,0.000152344,0.000152344
24,12792,0.86433,0.89001,0.94515,0.59336,0.53835,0.55118,0.45242,0.76962,0.82597,0.91365,0.000133996,0.000133996,0.000133996
25,13309.5,0.85844,0.8827,0.94272,0.59395,0.55372,0.55824,0.45589,0.76921,0.8211,0.9143,0.000115648,0.000115648,0.000115648
26,13812.9,0.81157,0.82239,0.92144,0.61468,0.53394,0.55595,0.45413,0.78028,0.82569,0.91495,9.73e-05,9.73e-05,9.73e-05
27,14314.4,0.79942,0.80393,0.91637,0.59868,0.53846,0.5527,0.45056,0.77696,0.82364,0.91632,7.8952e-05,7.8952e-05,7.8952e-05
28,14825,0.79033,0.79019,0.91392,0.59344,0.55716,0.55849,0.45668,0.77067,0.81713,0.91368,6.0604e-05,6.0604e-05,6.0604e-05
29,15403.8,0.78703,0.7835,0.9122,0.60256,0.55275,0.55888,0.45785,0.77119,0.81337,0.91304,4.2256e-05,4.2256e-05,4.2256e-05
30,15948.1,0.78017,0.77745,0.91206,0.60876,0.54429,0.55994,0.45826,0.76808,0.81139,0.9119,2.3908e-05,2.3908e-05,2.3908e-05
